Region,CO2 Emissions
Middle East,"55,122"
Middle East,"16,208"
Middle East,"20,286"
Middle East,"30,363"
Middle East,"297,214"
Middle East,"48,786"
Middle East,"101,415"
Middle East,"16,252"
Oceania,null
Oceania,"324,860"
Oceania,"1,115"
Oceania,737
Oceania,null
Oceania,26
Oceania,81
Oceania,176
Oceania,"1,907"
Oceania,"34,510"
Oceania,"3,231"
Oceania,143
Oceania,172
Oceania,143
Oceania,88
The Americas,345
The Americas,"132,632"
The Americas,"2,237"
The Americas,"1,569"
The Americas,"1,221"
The Americas,711
The Americas,495
The Americas,"9,824"
The Americas,"337,434"
The Americas,"525,690"
The Americas,455
The Americas,"52,757"
The Americas,"56,274"
The Americas,"5,761"
The Americas,"25,453"
The Americas,null
The Americas,114
The Americas,"20,235"
The Americas,"23,447"
The Americas,"5,948"
The Americas,539
The Americas,194
The Americas,"10,627"
The Americas,"1,595"
The Americas,"1,569"
The Americas,"5,713"
The Americas,"10,627"
The Americas,"394,800"
The Americas,"3,964"
The Americas,"7,008"
The Americas,"3,821"
The Americas,"27,165"
The Americas,null
The Americas,null
The Americas,183
The Americas,363
The Americas,null
The Americas,180
The Americas,"2,266"
The Americas,"25,024"
The Americas,15
The Americas,"5,601,405"
The Americas,"5,090"
The Americas,"172,525"
Africa,"90,854"
Africa,"12,666"
Africa,"2,054"
Africa,"4,485"
Africa,"1,005"
Africa,220
Africa,"3,418"
Africa,246
Africa,169
Africa,92
Africa,"1,544"
Africa,708
Africa,"7,286"
Africa,400
Africa,"127,194"
Africa,"4,980"
Africa,605
Africa,"4,481"
Africa,"1,778"
Africa,315
Africa,"7,437"
Africa,"1,324"
Africa,154
Africa,"7,968"
Africa,null
Africa,502
Africa,"47,832"
Africa,"1,236"
Africa,884
Africa,554
Africa,"1,434"
Africa,"2,981"
Africa,"38,254"
Africa,"1,588"
Africa,"1,760"
Africa,814
Africa,"98,125"
Africa,689
Africa,59
Africa,"4,547"
Africa,543
Africa,609
Africa,572
Africa,"347,687"
Africa,null
Africa,"8,119"
Africa,"1,126"
Africa,"3,590"
Africa,"1,232"
Africa,"21,016"
Africa,"1,668"
Africa,"1,969"
Africa,"11,932"
Asia,359
Asia,"3,044"
Asia,"29,615"
Asia,"33,707"
Asia,418
Asia,"5,321"
Asia,"2,208"
